Respondent_ID,Age_Group,Gender,City,Occupation,Income_Level,Usage_Duration,Usage_Frequency,Primary_Device,Ordering_Context,Order_Type,Primary_Cuisine,Avg_Order_Value,Payment_Method,Overall_Satisfaction,NPS_Score,Best_Feature,Pain_Point,Price_Sensitivity,Discount_Seeking,Loyalty_Score,Switching_Risk
R001,25-34,Male,Cairo,Student,Low,<6 months,Daily,Smartphone,Weekday dinner,Food delivery,Egyptian,150,Cash,3,5,Fast delivery,Delivery fees,5,Always,3,High
R002,35-44,Female,Alexandria,Manager,High,3-5 years,Weekly,Smartphone,Weekend lunch,Pizza,Italian,350,Credit card,4,7,Restaurant selection,Delivery time,3,Often,2,Low
R003,25-34,Male,Cairo,Engineer,Medium,1-2 years,Several times week,Smartphone,Weekday dinner,Food delivery,Fast food,200,Credit card,4,6,Easy app,Delivery fees,4,Always,3,Medium
R004,18-24,Female,Cairo,Student,Low,6-12 months,Once a week,Smartphone,Late night,Fast food,Pizza,100,Cash,2,2,Free delivery,Delivery fees,5,Always,1,High
R005,35-44,Male,Giza,Business Owner,High,6+ years,Daily,Smartphone,Family dinner,Grocery,Egyptian,500,Cash,4,8,Wide selection,No issues,2,Rarely,5,Low
R006,25-34,Female,Alexandria,Teacher,Low,3-5 years,Weekly,Smartphone,Lunch break,Food delivery,Fast food,150,Credit card,3,4,Discounts available,Delivery fees,4,Often,2,Medium
R007,45-54,Male,Cairo,Doctor,High,6+ years,Weekly,Desktop,Business lunch,International,Italian,400,Credit card,5,9,Quality restaurants,None,1,Rarely,5,Low
R008,25-34,Female,Cairo,Designer,Medium,1-2 years,Several times week,Smartphone,Weekend,Food delivery,Asian,250,Digital wallet,3,5,Easy ordering,Delivery time,3,Sometimes,2,Medium
R009,18-24,Male,Alexandria,Student,Low,<6 months,Less than monthly,Smartphone,Weekend,Fast food,Pizza,80,Cash,2,1,Promotions,Delivery fees,5,Always,1,High
R010,35-44,Female,Cairo,HR,High,3-5 years,Weekly,Smartphone,Family dinner,Food delivery,Middle Eastern,350,Credit card,4,7,Reliable service,None,2,Sometimes,4,Low
R011,25-34,Male,Mansoura,Developer,Medium,6-12 months,Weekly,Smartphone,Weekday dinner,Grocery,Fast food,150,Credit card,3,4,Quick delivery,Delivery delays,4,Often,2,Medium
R012,45-54,Female,Cairo,Executive,High,6+ years,Daily,Smartphone,Weekend lunch,Food delivery,Italian,450,Credit card,5,8,Best restaurants,None,1,Rarely,5,Low
