Respondent_ID,Age_Group,Gender,City,Occupation,Income_Level,Education,Usage_Duration,Usage_Frequency,Primary_Device,Ordering_Context,Order_Type,Primary_Cuisine,AOV,Payment_Method,Overall_Satisfaction,NPS_Category,Best_Feature,Pain_Point,Issue_Frequency,Issue_Resolution,Price_Sensitivity,Discount_Seeking,Subscription_Value,Promo_Response,Tip_Sensitivity,Platform_Awareness,Primary_Alternative,Switching_Likelihood,Churn_Triggers,Multi_homing,Discovery_Method,App_Features,Notification_Preference,Social_Sharing,Meal_Planning,Decision_Factors,Risk_Tolerance,Loyalty_Program,Experimentation,Platform_Loyalty,Switching_History,Win_back,Advocacy,Ordering_Motivation,Primary_Need,Value_Proposition,Perfect_Experience,Improvement_Ideas
R001,25-34,Male,Cairo,Mid-level employee,25001-50000,Bachelor's degree,1-2 years,Several times a week,Smartphone (Android),Weekday dinner,Food delivery,Egyptian/Local,201-350,Credit/Debit card (saved),Somewhat satisfied,7-8 (Satisfied),Wide restaurant selection,Delivery fees,Sometimes,Satisfied,Somewhat sensitive,Often check,No - too expensive,Sometimes,Service quality,2 platforms,Breadfast,Probably would,Price increases,Yes occasionally,App search,Ratings/reviews,In-app notifications,Never,Mostly plan,Ratings/reviews,Will try new if recommended,Somewhat important,Sometimes,Somewhat loyal,No but considered,Better prices,Probably would,Convenience,Quick meal,Price-conscious,Fast delivery with good food,Lower fees
R002,25-34,Female,Cairo,Senior employee,50001-100000,Bachelor's degree,More than 2 years,Daily,Smartphone (iOS),Weekday dinner,Food delivery,Mixed,351-500,Credit/Debit card (saved),Very satisfied,9-10 (Promoter),Wide restaurant selection,No major issues,Rarely,Very satisfied,Not very sensitive,Often check,Yes - valuable,Greatly influence,Service quality,Talabat only,Otlob,Probably not,Better alternative,No mainly Talabat,App search,Reorder,In-app notifications,Sometimes,Always plan,Ratings/reviews,Will try new if recommended,Very important,Often try new,Very loyal,No never considered,Better service,Definitely would,Convenience,Exploring,Quality-focused,Quick delicious meal,Faster delivery
R003,18-24,Male,Cairo,Student,Under 10000,Some college/university,3-6 months,Once a week,Smartphone (Android),Weekend,Quick commerce,Fast Food,Under 100,Cash on delivery,Somewhat satisfied,4-6 (Passive),Easy app,Delivery time,Rarely,Neutral,Very sensitive,Always check,No - don't order enough,Occasionally,Default setting,3 platforms,Foodpanda,Might switch,Poor delivery,Yes regularly,App search,Deals,In-app notifications,Rarely,Mix,Ratings/reviews,Prefer familiar,Not important,Rarely try new,Somewhat loyal,No but considered,Better prices,Probably would,Convenience,Specific craving,Convenience-first,Fast delivery always,More discounts
R004,35-44,Female,Giza,Mid-level employee,25001-50000,Bachelor's degree,1-2 years,Several times a week,Smartphone (Android),Weekday dinner,Food delivery,Egyptian/Local,201-350,Credit/Debit card (saved),Somewhat satisfied,7-8 (Satisfied),Wide restaurant selection,Delivery fees,Sometimes,Satisfied,Somewhat sensitive,Often check,No - too expensive,Sometimes,Service quality,2 platforms,Otlob,Probably would,Price increases,Yes occasionally,App search,Filters,In-app notifications,Sometimes,Mostly plan,Cuisine type,Neutral,Neutral,Sometimes,Somewhat loyal,No but considered,Better prices,Might,Convenience,Quick meal,Price-conscious,Reliable food delivery,More deals
R005,25-34,Male,Cairo,Entry-level employee,10000-25000,Some college/university,6-12 months,2-3 times a month,Smartphone (Android),Weekend,Food delivery,Mixed,100-200,Cash on delivery,Neutral,4-6 (Passive),Easy app,Delivery fees,Sometimes,Neutral,Somewhat sensitive,Sometimes,No - don't see value,Occasionally,Percentage of order,2 platforms,Breadfast,Might switch,Price increases,No mainly Talabat,Recommendations,Deals,Email,Rarely,Mix,Price,Neutral,Not important,Rarely try new,Neutral,No but considered,Better prices,Might,Convenience,Exploring,Convenience-first,Quick meals,Lower prices
R006,45-54,Female,Alexandria,Senior employee,50001-100000,Master's degree,More than 2 years,Once a week,Smartphone (iOS),Weekday dinner,Food delivery,International,201-350,Credit/Debit card (saved),Very satisfied,9-10 (Promoter),Reliability,No major issues,Rarely,Very satisfied,Not at all,Rarely,Yes - valuable,A great deal,Flat amount,Talabat only,Otlob,Definitely not,Nothing,No mainly Talabat,App search,Ratings/reviews,In-app notifications,Sometimes,Always plan,Ratings/reviews,Will try new if recommended,Somewhat important,Often try new,Very loyal,No never considered,Nothing,Definitely would,Convenience,Quick meal,Quality-focused,Fast reliable delivery,Keep up good service
R007,18-24,Male,Cairo,Student,Under 10000,High school or below,Less than 3 months,Daily,Smartphone (Android),Late night,Quick commerce,Fast Food,Under 100,Cash on delivery,Somewhat dissatisfied,0-3 (Detractor),Fast delivery,Delivery time,Often,Somewhat dissatisfied,Very sensitive,Always check,No - don't order enough,Occasionally,Never,3 platforms,Foodpanda,Definitely would,Poor delivery,Yes regularly,Promotions,Deals,SMS,Always,Always spontaneous,Delivery time,Love trying new,Not important,Always try new,Not at all,Yes multiple times,Better prices,Definitely wouldn't,Convenience,Quick meal,Convenience-first,Fastest delivery possible,Less waiting
R008,25-34,Female,Cairo,Mid-level employee,25001-50000,Bachelor's degree,1-2 years,Several times a week,Smartphone (iOS),Weekday lunch,Food delivery,Mixed,201-350,Credit/Debit card (saved),Somewhat satisfied,7-8 (Satisfied),Wide restaurant selection,Delivery fees,Sometimes,Satisfied,Somewhat sensitive,Often check,No - too expensive,Sometimes,Service quality,2 platforms,Otlob,Probably would,Price increases,Yes occasionally,App search,Ratings/reviews,In-app notifications,Sometimes,Mostly plan,Ratings/reviews,Will try new if recommended,Somewhat important,Sometimes,Somewhat loyal,No but considered,Better prices,Probably would,Convenience,Exploring,Quality-focused,Good food fast,Lower fees
R009,35-44,Male,Giza,Business owner,50001-100000,Bachelor's degree,More than 2 years,Once a week,Desktop/Laptop,Weekday dinner,Food delivery,Egyptian/Local,201-350,Credit/Debit card (saved),Very satisfied,9-10 (Promoter),Wide restaurant selection,No major issues,Rarely,Very satisfied,Not very sensitive,Rarely,Yes - valuable,A great deal,Service quality,Talabat only,Otlob,Probably not,Nothing,No mainly Talabat,Recommendations,Ratings/reviews,In-app notifications,Rarely,Always plan,Ratings/reviews,Prefer familiar,Very important,Stick to favorites,Very loyal,No never considered,Nothing,Definitely would,Variety,Planning,Brand-loyal,Consistent quality food,Continue quality
R010,25-34,Male,Cairo,Entry-level employee,10000-25000,Bachelor's degree,3-6 months,Once a month,Smartphone (Android),Weekend,Food delivery,Egyptian/Local,100-200,Cash on delivery,Neutral,4-6 (Passive),Easy app,Delivery fees,Rarely,Neutral,Somewhat sensitive,Sometimes,No - don't see value,Rarely,Default setting,2 platforms,Foodpanda,Might switch,Better alternative,No mainly Talabat,App search,Filters,Email,Rarely,Mix,Cuisine type,Neutral,Not important,Rarely try new,Neutral,No but considered,Better prices,Might,Saving time,Specific craving,Convenience-first,Fast affordable meals,More options
